Situation,Good Advice,Bad Advice
"1. They take hours or days to text back.","Match their energy and communicate your needs. If they remain inconsistent, move on.","Double text, spam their phone, or demand immediate replies."
"2. Partner doesn't want to define the relationship.","Have a direct conversation about your boundaries; don't settle for less than you want.","Give an aggressive ultimatum or wait endlessly hoping they change."
"3. I'm terrified of rejection so I haven't asked my crush out.","Shoot your shot casually. Respect a 'no', give it space, and the friendship will survive.","Confess your undying love in a massive, public grand gesture."
"4. We fight constantly over small things.","Use 'I' statements and seek to understand the root cause. Consider couples counseling.","Give them the silent treatment until they figure out what they did wrong."
"5. Caught them lying about their whereabouts.","Confront them calmly with the facts. If they gaslight you or deny reality, leave.","Snoop through their phone to find more evidence before speaking up."
"6. Partner wants to spend every waking second together.","Communicate your need for independence. A healthy relationship requires space.","Dump your friends and hobbies to prove your loyalty."
"7. My date talks about their ex constantly.","Note it as a red flag that they aren't over them. Politely change the subject or end the date.","Try to prove you are smarter or better looking than their ex."
"8. I always pay for everything on our dates.","Have an honest, non-accusatory talk about financial expectations and splitting costs.","Resent them silently while continuing to pay for everything."
"9. They ghosted me after three great dates.","Accept that their silence is an answer. Maintain your dignity and move on.","Stalk their social media and send paragraphs begging for closure."
"10. We have totally different political views.","Decide if this is a core-value dealbreaker. If not, agree to respectful disagreements.","Try to aggressively debate them into changing their worldview."
"11. My partner is still friends with their ex.","Assess if the friendship has healthy boundaries. Communicate any insecurities you feel.","Demand they block the ex immediately to prove their love."
"12. They are perfect but bad in bed.","Communicate your physical needs kindly and guide them on what you like.","Fake it forever or cheat on them."
"13. I found out they are still active on dating apps.","Ask them about it directly if you already agreed on exclusivity.","Make a fake profile to catch them or catfish them."
"14. Their family doesn't like me.","Be polite and give it time, but ensure your partner sets boundaries and defends you.","Start drama with their parents or force your partner to choose."
"15. We have mismatched sex drives.","Find a middle ground through open, non-judgmental discussion, or see a sex therapist.","Guilt-trip or pressure them into intimacy."
"16. My partner hates my best friend.","Keep the relationships separate but demand basic respect from both sides.","Force them to hang out and be besties."
"17. They want kids and I don't.","Recognize this as a fundamental incompatibility and part ways amicably.","Stay and hope they eventually change their mind."
"18. I feel like I'm putting in all the effort.","Stop over-functioning. Express how the imbalance makes you feel exhausted.","Keep over-giving to win their affection while building resentment."
"19. My partner is extremely jealous of my coworkers.","Reassure them, but maintain your professional boundaries and friendships.","Quit your job or isolate yourself to soothe their anxiety."
"20. They criticized my body or appearance.","Set a hard boundary that body-shaming is entirely unacceptable.","Go on an extreme diet or change your look to please them."
"21. We never go on romantic dates anymore.","Take the initiative to plan a date night and express your need to keep the romance alive.","Complain constantly that they aren't romantic enough."
"22. They keep liking suggestive photos online.","Explain how it makes you feel disrespected without being accusatory.","Hack their account or post revenge traps online."
"23. My partner earns significantly less money than me.","Treat them as an equal and find a lifestyle and date-budget that works for both of you.","Use your money to control relationship decisions."
"24. They hide their phone screen when I walk by.","Ask them directly why they are being secretive and express your concern.","Wait until they fall asleep and unlock their phone."
"25. I caught feelings for a friend with benefits.","Be honest about your changing feelings. Be ready to walk away if they don't match.","Hide your feelings and pretend you're fine with casual sex."
"26. My partner struggles with severe anxiety/depression.","Offer support and encourage professional help, but remember you aren't their therapist.","Try to 'fix' them yourself or take their low moods personally."
"27. They want to move in, but I'm not ready.","Be honest about your timeline. Don't rush into cohabitation if you aren't comfortable.","Move in anyway just to avoid disappointing them."
"28. My partner is terrible with money and in debt.","Discuss financial habits openly before ever merging finances or moving in.","Pay off their debt secretly or give them unrestricted access to your cards."
"29. They have a child from a previous relationship.","Accept that the child comes first. Take introductions slowly and let the child set the pace.","Compete with the child for your partner's attention."
"30. I feel bored in my long-term relationship.","Introduce new shared hobbies and adventures to reignite the spark.","Start an emotional affair with a coworker for excitement."
"31. My partner constantly interrupts me.","Point it out gently in the moment ('I wasn't finished speaking, please let me finish').","Yell at them or completely stop talking and shut down."
"32. They won't post me on social media.","Discuss what social media means to you both. Ascertain if they are hiding you or just private.","Post a million photos of them and tag them aggressively to mark your territory."
